"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"161";48873;"R_10pp_ROI";1;0,00205236316447971;17,1564;58,3578;-13,6148;"R";1,01908682202382;-0,00583838248498911;0;1470,69713578945;34
"162";48874;"R_10pp_ROI";3;0,0020790055979329;17,0114;57,3078;-14,6996;"R";1,01906670177538;-0,002582274812125;0;1487,19557060816;19
"163";48875;"R_10pp_ROI";2;0,00210662734951665;16,8757;56,2059;-15,736;"R";1,01903232678455;-0,0137600799991879;0;1450,94468554893;193
"164";48876;"R_10pp_ROI";2;0,00213343126054926;16,7488;55,0531;-16,7231;"R";1,01900645788946;-0,0113829559908448;0;1563,91946599299;807
"165";48877;"R_10pp_ROI";2;0,00216043698055649;16,6303;53,8505;-17,6602;"R";1,01895548871583;-0,00747603238043468;0;1510,65244610413;687
"166";48878;"R_10pp_ROI";2;0,00218877771104238;16,5196;52,5987;-18,5469;"R";1,0189468947775;-0,00531730207125141;0;1386,8978074746;156
"167";48879;"R_10pp_ROI";2;0,00221781980441884;16,4162;51,2987;-19,383;"R";1,0189264622193;-0,0100897906710815;0;1383,55536222588;652
"168";48901;"R_10pp_ROI";1;0,00224618089947211;16,7185;60,3867;-10,4046;"R";1,01886968688676;0,0296326069290575;1;1480,37821640266;10
"169";48902;"R_10pp_ROI";1;0,00227371346049008;16,5472;59,4588;-11,6195;"R";1,01882860346477;0,0258197573628247;1;1253,32460197811;8
"170";48903;"R_10pp_ROI";2;0,00230167835026655;16,386;58,476;-12,7895;"R";1,0188200513004;-0,0120905748008126;0;1453,44871240617;1123
"171";48904;"R_10pp_ROI";2;0,00232971458232956;16,2349;57,4397;-13,913;"R";1,01878552788854;-0,0251476615333477;0;1461,45908388138;432
"172";48905;"R_10pp_ROI";2;0,00235805207761008;16,0939;56,3508;-14,9886;"R";1,01877604106039;-0,0192801445295658;0;1459,40106456628;52
"173";48906;"R_10pp_ROI";2;0,00238645563168933;15,9628;55,2104;-16,0152;"R";1,01872005159256;-0,0116115442918063;0;1435,3663567144;862
"174";48907;"R_10pp_ROI";2;0,00241468066247403;15,8411;54,0195;-16,9917;"R";1,01869387045243;-0,0047411524119255;0;1459,42907748321;228
